"","area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"11","01023",5,518,75,0,2024,1,"-",0,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","01027",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.87,0,0,0,0,0,0,0,"N",-1,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","01029",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.76,0,0,0,0,0,0,0,"N",1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","01031",5,518,75,0,2024,1,"",8,7,9,9,146221,65254,1008,1350,"",1.28,0.13,0.17,0.17,0.1,0.12,0.42,0.62,"",1,14.3,1,16.7,3,50,3,50,76266,109,24596,60.5,439,77.2,453,50.5
"15","01033",5,518,75,0,2024,1,"",5,18,16,16,317911,132370,3174,1467,"",0.69,0.24,0.21,0.21,0.12,0.17,0.73,0.53,"N",1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","01037",5,518,75,0,2024,1,"N",3,0,0,0,0,0,0,0,"N",4.19,0,0,0,0,0,0,0,"N",1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","01039",5,518,75,0,2024,1,"-",0,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","01043",5,518,75,0,2024,1,"",4,4,5,5,126707,35994,272,2089,"",0.38,0.04,0.05,0.05,0.04,0.04,0.07,0.85,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","01045",5,518,75,0,2024,1,"",5,8,8,8,261476,64000,1328,2514,"",0.96,0.14,0.14,0.14,0.12,0.12,0.54,0.83,"",0,0,2,33.3,2,33.3,1,14.3,61949,31,15132,31,99,8.1,91,3.8
"20","01047",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.22,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","01049",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.15,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","01051",5,518,75,0,2024,1,"",11,8,8,6,132083,65271,1574,1385,"",1.38,0.12,0.12,0.09,0.07,0.1,0.6,0.61,"",1,10,-6,-42.9,-6,-42.9,-8,-57.1,-481967,-78.5,-42175,-39.3,514,48.5,-1989,-59
"23","01053",5,518,75,0,2024,1,"-",0,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,"N",-1,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","01055",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.09,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","01059",5,518,75,0,2024,1,"N",2,0,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,0,"N",2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","01061",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.36,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","01065",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.66,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","01067",5,518,75,0,2024,1,"-",0,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","01069",5,518,75,0,2024,1,"N",8,0,0,0,0,0,0,0,"N",0.47,0,0,0,0,0,0,0,"N",-1,-11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","01071",5,518,75,0,2024,1,"N",4,0,0,0,0,0,0,0,"N",0.73,0,0,0,0,0,0,0,"N",-1,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","01073",5,518,75,0,2024,1,"",168,368,373,383,9766644,3141534,34685,2005,"",1.61,0.32,0.32,0.34,0.18,0.26,0.61,0.56,"",27,19.1,-48,-11.5,-48,-11.4,-41,-9.7,-691429,-6.6,-250279,-7.4,2933,9.2,91,4.8
"32","01077",5,518,75,0,2024,1,"N",6,0,0,0,0,0,0,0,"N",0.51,0,0,0,0,0,0,0,"N",1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","01081",5,518,75,0,2024,1,"",38,137,138,144,2835358,1060126,6445,1562,"",1.92,0.66,0.66,0.69,0.41,0.59,0.65,0.61,"",1,2.7,-6,-4.2,-7,-4.8,-2,-1.4,-310798,-9.9,-28879,-2.7,-3034,-32,-111,-6.6
"34","01083",5,518,75,0,2024,1,"",11,6,6,3,106479,42623,551,1638,"",1.2,0.06,0.06,0.03,0.03,0.04,0.08,0.55,"",2,22.2,-4,-40,-4,-40,-6,-66.7,-256689,-70.7,-37377,-46.7,-809,-59.5,-1252,-43.3
"35","01087",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.72,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","01089",5,518,75,0,2024,1,"",122,289,288,280,15993625,2407081,17793,4307,"",1.97,0.41,0.4,0.39,0.46,0.33,0.55,1.15,"",23,23.2,33,12.9,25,9.5,18,6.9,4811367,43,152038,6.7,-3829,-17.7,1003,30.4
"37","01091",5,518,75,0,2024,1,"-",0,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","01093",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.31,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","01095",5,518,75,0,2024,1,"",11,28,27,27,572081,203317,1470,1610,"",0.94,0.22,0.21,0.21,0.15,0.15,0.26,0.7,"",5,83.3,9,47.4,9,50,8,42.1,113767,24.8,71320,54,1206,456.8,-279,-14.8
"40","01097",5,518,75,0,2024,1,"",47,178,178,179,3659504,1451746,7111,1579,"",0.84,0.32,0.33,0.33,0.18,0.26,0.23,0.54,"",6,14.6,54,43.5,50,39.1,53,42.1,1396415,61.7,426060,41.5,954,15.5,197,14.3
"41","01101",2,518,75,0,2024,1,"",1,11,11,12,247192,0,0,1678,"",82.58,12.7,12.56,13.7,16.79,0,0,1.29,"",0,0,1,10,3,37.5,2,20,-40182,-14,0,0,0,0,-690,-29.1
"42","01101",5,518,75,0,2024,1,"",40,234,235,230,4383295,1886787,7879,1447,"",1.22,0.56,0.56,0.55,0.28,0.5,0.4,0.5,"",7,21.2,-16,-6.4,-13,-5.2,-18,-7.3,-378522,-7.9,-134833,-6.7,-3916,-33.2,-26,-1.8
"43","01103",5,518,75,0,2024,1,"",12,36,36,35,600140,261127,956,1294,"",0.79,0.22,0.22,0.21,0.1,0.14,0.12,0.44,"",2,20,-20,-35.7,-15,-29.4,-6,-14.6,-93046,-13.4,-97387,-27.2,-361,-27.4,213,19.7
"44","01107",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.55,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","01109",5,518,75,0,2024,1,"N",3,0,0,0,0,0,0,0,"N",0.79,0,0,0,0,0,0,0,"N",1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","01113",5,518,75,0,2024,1,"",10,18,18,17,422830,143317,2070,1841,"",1.84,0.41,0.4,0.38,0.32,0.33,0.95,0.81,"",0,0,4,28.6,3,20,-1,-5.6,43232,11.4,-423,-0.3,-475,-18.7,-23,-1.2
"47","01115",5,518,75,0,2024,1,"",9,7,8,9,192226,63078,972,1848,"",1.04,0.1,0.12,0.13,0.09,0.09,0.25,0.74,"",1,12.5,3,75,4,100,4,80,78597,69.2,18536,41.6,60,6.6,-169,-8.4
"48","01117",5,518,75,0,2024,1,"",63,118,118,119,3305885,952979,7170,2149,"",1.92,0.44,0.44,0.45,0.28,0.3,0.48,0.63,"",5,8.6,-9,-7.1,-14,-10.6,-6,-4.8,-382885,-10.4,-82667,-8,-3468,-32.6,-68,-3.1
"49","01121",5,518,75,0,2024,1,"",8,12,14,14,894957,111923,1022,5163,"",1.12,0.12,0.14,0.14,0.26,0.1,0.24,1.96,"",4,100,5,71.4,6,75,6,75,343164,62.2,49421,79.1,-266,-20.7,-373,-6.7
"50","01123",5,518,75,0,2024,1,"N",2,0,0,0,0,0,0,0,"N",0.42,0,0,0,0,0,0,0,"N",1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","01125",5,518,75,0,2024,1,"",17,115,115,114,3020569,972736,4138,2026,"",0.69,0.37,0.37,0.37,0.25,0.33,0.32,0.69,"N",4,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","01127",5,518,75,0,2024,1,"",4,7,7,7,220356,60008,580,2421,"",0.56,0.12,0.12,0.12,0.12,0.1,0.17,1.02,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","01133",5,518,75,0,2024,1,"N",2,0,0,0,0,0,0,0,"N",0.83,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","01999",5,518,75,0,2024,1,"",691,1930,1919,1923,45849129,14525633,84852,1833,"",7.23,7.42,7.34,7.41,2.97,3.77,3.1,0.4,"",39,6,352,22.3,325,20.4,331,20.8,6437157,16.3,2140329,17.3,-64397,-43.1,-76,-4
"55","02000",5,518,55,0,2024,1,"",73,110,105,110,3302703,2525753,38845,2345,"",0.65,0.11,0.11,0.11,0.07,0.12,0.11,0.68,"",-15,-17,-3,-2.7,-13,-11,-11,-9.1,-279416,-7.8,-310580,-11,-17321,-30.8,-3,-0.1
"56","02020",5,518,75,0,2024,1,"",31,63,60,64,1076871,1037389,16284,1329,"",0.78,0.14,0.13,0.14,0.05,0.11,0.1,0.37,"",1,3.3,10,18.9,3,5.3,7,12.3,48004,4.7,50250,5.1,-2924,-15.2,-93,-6.5
"57","02063",5,518,75,0,2024,1,"-",0,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","02090",5,518,75,0,2024,1,"",7,10,11,11,1073279,466075,7046,7740,"",0.64,0.09,0.1,0.1,0.23,0.23,0.21,2.38,"",1,16.7,-1,-9.1,0,0,0,0,210048,24.3,-25666,-5.2,-3263,-31.7,1703,28.2
"59","02110",5,518,75,0,2024,1,"N",2,0,0,0,0,0,0,0,"N",0.38,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","02122",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.1,0,0,0,0,0,0,0,"N",-4,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","02150",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.47,0,0,0,0,0,0,0,"N",1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","02170",5,518,75,0,2024,1,"",3,4,4,4,125798,125798,1939,2419,"",0.24,0.04,0.04,0.04,0.04,0.07,0.07,0.9,"",-4,-57.1,1,33.3,0,0,-2,-33.3,-29263,-18.9,-29263,-18.9,-1426,-42.4,-334,-12.1
"63","02220",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.55,0,0,0,0,0,0,0,"N",1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","02240",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.85,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","02999",5,518,75,0,2024,1,"",26,27,25,25,854517,729984,11031,2561,"",2.9,2.85,2.58,2.61,1.53,2.48,2.18,0.57,"N",-10,-27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","04000",5,518,55,0,2024,1,"",887,11301,11454,11448,436511909,93541303,1424806,2945,"",0.85,1.11,1.12,1.12,0.95,0.82,0.97,0.85,"",50,6,-1245,-9.9,-1026,-8.2,-849,-6.9,23759043,5.8,-8624360,-8.4,81774,6.1,393,15.4
"67","04001",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.34,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","04003",5,518,75,0,2024,1,"",9,43,42,42,962878,364600,3219,1750,"",0.75,0.38,0.38,0.38,0.23,0.39,0.36,0.62,"",1,12.5,-2,-4.4,-4,-8.7,-5,-10.6,-79740,-7.6,-1538,-0.4,-830,-20.5,6,0.3
"69","04005",5,518,75,0,2024,1,"N",7,0,0,0,0,0,0,0,"N",0.37,0,0,0,0,0,0,0,"N",-1,-12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","04007",5,518,75,0,2024,1,"N",2,0,0,0,0,0,0,0,"N",0.38,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","04013",5,518,75,0,2024,1,"",535,9716,9804,9857,379370239,80818354,1203188,2980,"",0.8,1.34,1.35,1.37,1.1,0.96,1.18,0.81,"",16,3.1,-1329,-12,-1159,-10.6,-925,-8.6,15089510,4.1,-9533771,-10.6,169733,16.4,416,16.2
"72","04015",5,518,75,0,2024,1,"N",3,0,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,0,"N",1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","04019",5,518,75,0,2024,1,"",36,325,320,314,11122043,2600552,34386,2676,"",0.33,0.26,0.26,0.26,0.23,0.22,0.28,0.89,"",0,0,31,10.5,34,11.9,29,10.2,2381140,27.2,244388,10.4,-54242,-61.2,344,14.8
"74","04021",5,518,75,0,2024,1,"",9,18,16,15,369024,124370,3632,1738,"",0.39,0.07,0.07,0.06,0.04,0.05,0.14,0.62,"",4,80,8,80,5,45.5,3,25,126246,52,49013,65,2321,177,40,2.4
"75","04025",5,518,75,0,2024,1,"",5,9,9,10,162342,66461,2741,1338,"",0.15,0.04,0.04,0.04,0.02,0.03,0.1,0.53,"N",3,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","04027",5,518,75,0,2024,1,"N",5,0,0,0,0,0,0,0,"N",0.27,0,0,0,0,0,0,0,"N",3,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","04999",5,518,75,0,2024,1,"",275,1142,1214,1160,43178466,9165992,168322,2834,"",2.52,4.7,4.97,4.76,2.54,2.45,2.26,0.53,"",24,9.6,44,4,97,8.7,44,3.9,5964140,16,564721,6.6,-33621,-16.6,256,9.9
"78","05000",2,518,55,0,2024,1,"",1,162,162,162,2704809,0,0,1284,"",5.72,19.3,19.03,18.92,18.46,0,0,0.97,"",0,0,-2,-1.2,-2,-1.2,-1,-0.6,20534,0.8,0,0,0,0,22,1.7
"79","05000",5,518,55,0,2024,1,"",1160,4325,4342,4317,131475033,28975308,287567,2337,"",2.44,1.07,1.07,1.06,0.84,0.77,0.86,0.79,"",-127,-9.9,-486,-10.1,-461,-9.6,-426,-9,-15704550,-10.7,-3115941,-9.7,-123044,-30,-29,-1.2
"80","05003",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.43,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","05005",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.16,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","05007",5,518,75,0,2024,1,"",57,279,280,276,6645044,1923913,31517,1836,"",1.47,0.62,0.62,0.61,0.23,0.35,0.84,0.36,"",-1,-1.7,-29,-9.4,-21,-7,-18,-6.1,-586463,-8.1,-131029,-6.4,-1591,-4.8,-12,-0.6
"83","05009",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.22,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","05023",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.34,0,0,0,0,0,0,0,"N",-1,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","05029",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.43,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","05031",5,518,75,0,2024,1,"N",2,0,0,0,0,0,0,0,"N",0.14,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","05033",5,518,75,0,2024,1,"N",2,0,0,0,0,0,0,0,"N",0.34,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","05035",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.2,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","05045",5,518,75,0,2024,1,"N",11,0,0,0,0,0,0,0,"N",0.73,0,0,0,0,0,0,0,"N",1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","05047",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.54,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","05051",5,518,75,0,2024,1,"N",4,0,0,0,0,0,0,0,"N",0.27,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","05055",5,518,75,0,2024,1,"N",2,0,0,0,0,0,0,0,"N",0.46,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","05057",5,518,75,0,2024,1,"N",2,0,0,0,0,0,0,0,"N",0.87,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","05065",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.85,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","05071",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.44,0,0,0,0,0,0,0,"N",1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","05073",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",1.34,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","05085",5,518,75,0,2024,1,"",7,10,10,10,155808,70000,1022,1199,"",1.07,0.21,0.21,0.21,0.12,0.17,0.29,0.59,"N",1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","05087",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.77,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","05089",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.71,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","05091",5,518,75,0,2024,1,"N",3,0,0,0,0,0,0,0,"N",0.72,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","05093",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.22,0,0,0,0,0,0,0,"N",-1,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","05097",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",1.19,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","05103",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.38,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","05115",5,518,75,0,2024,1,"",3,15,19,23,334280,121212,3570,1353,"",0.37,0.18,0.22,0.27,0.12,0.15,0.52,0.55,"",0,0,0,0,3,18.8,7,43.8,53551,19.1,15820,15,506,16.5,-25,-1.8
"105","05119",2,518,75,0,2024,1,"",1,162,162,162,2704809,0,0,1284,"",40.97,95.81,94.71,94.36,85.75,0,0,0.9,"",0,0,-2,-1.2,-2,-1.2,-1,-0.6,20534,0.8,0,0,0,0,22,1.7
"106","05119",5,518,75,0,2024,1,"",56,294,292,293,7846332,1952746,27902,2060,"",0.84,0.36,0.36,0.36,0.23,0.28,0.46,0.65,"",-2,-3.4,-90,-23.4,-98,-25.1,-93,-24.1,-1707253,-17.9,-700149,-26.4,-1935,-6.5,159,8.4
"107","05125",5,518,75,0,2024,1,"N",8,0,0,0,0,0,0,0,"N",0.71,0,0,0,0,0,0,0,"N",3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","05129",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",1.31,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","05131",5,518,75,0,2024,1,"N",8,0,0,0,0,0,0,0,"N",0.46,0,0,0,0,0,0,0,"N",1,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","05135",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.55,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111","05143",5,518,75,0,2024,1,"",36,142,138,143,6025508,976464,6902,3287,"",1.12,0.38,0.36,0.38,0.44,0.29,0.27,1.17,"",3,9.1,6,4.4,0,0,3,2.1,938185,18.4,29984,3.2,-9408,-57.7,451,15.9
"112","05145",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",0.12,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","05999",5,518,75,0,2024,1,"",941,1304,1301,1271,43407316,8574252,137130,2584,"",9.47,7.43,7.33,7.14,4.2,3.96,3.7,0.58,"",-129,-12.1,-274,-17.4,-256,-16.4,-253,-16.6,-3758190,-8,-1918109,-18.3,-117319,-46.1,248,10.6
"114","06000",3,518,55,0,2024,1,"",2,23,23,24,752698,0,0,2481,"",0.14,0.07,0.07,0.07,0.08,0,0,1.19,"",0,0,2,9.5,2,9.5,2,9.1,87651,13.2,0,0,0,0,83,3.5
"115","06000",5,518,55,0,2024,1,"",4386,79874,79902,79482,5763605974,580518576,20559956,5559,"",0.54,1.4,1.41,1.41,1.69,1.04,1.07,1.2,"",96,2.2,-4905,-5.8,-4779,-5.6,-4927,-5.8,593126587,11.5,-27365867,-4.5,1942470,10.4,859,18.3
"116","06001",5,518,75,0,2024,1,"",152,6455,6496,6491,464868993,46916004,1355692,5518,"",0.47,2.58,2.61,2.62,2.89,1.86,1.59,1.11,"",-4,-2.6,-150,-2.3,-152,-2.3,-140,-2.1,67087290,16.9,-80926,-0.2,202587,17.6,901,19.5
"117","06003",5,518,75,0,2024,1,"N",1,0,0,0,0,0,0,0,"N",2.64,0,0,0,0,0,0,0,"N",-1,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","06005",5,518,75,0,2024,1,"N",2,0,0,0,0,0,0,0,"N",0.33,0,0,0,0,0,0,0,"N",1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","06007",5,518,75,0,2024,1,"N",5,0,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,0,"N",2,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
